Locations,Product 1 Brand,Product 1 price (€),Product 2 Brand,Product 2 price (€),Product 3 Brand,Product 3 price (€),Average Price Apples
Lichtenberg,Evelina,1.79,Honeycrunch,2.19,Pink Lady,2.59,2.19
Neukölln,Pink Lady,2.99,Rote Tafeapfel,2.39,Golden Decicious ,1.95,2.443333333
Mitte,Pink Lady,3.98,REWE ,1.99,REWE ,1.79,2.586666667
Friedrichshain,Pink Lady,2.49,Kanzi,1.99,No Brand,1.99,2.156666667
Tempelhof,Lecker Apfel!,1.89,,,,,1.89
Prenzlauer Berg,Evelina,1.79,Royal Gala,1.39,Honeycrunch,2.74,1.973333333
Kreuzberg,Kanzi,1.99,Demeter,3.62,EDEKA,1.99,2.533333333
Mitte,Elstar,1.99,Pink Lady,2.99,Kanzi,1.11,2.03
Neukölln,Braeburn,0.66,EDEKA,2.99,Naturlich Bio ,3.62,2.423333333
Prenzlauer Berg,XXL Jonagold Apfel Rot,0.66,Bio ,3.13,Ambrosia ,2.49,2.093333333
Friedrichshain,Pink Lady,2.93,EDEKA,1.99,Kissed By Nature,1.99,2.303333333
Schöneberg,No Brand,1.39,No Brand,2.72,,,2.055
Kreuzberg,EDEKA,1.99,Pink Lady ,2.99,EDEKA,2.49,2.49
Kreuzberg,REWE,1.52,Pink Lady,3.98,Regional ,1.99,2.496666667
Neukölln,Apfel Rot ,2.99,Apfel Rot,1.99,Pink Lady ,2.49,2.49
Lichtenberg,Honeycrunch,3.74,GutBio,3.65,FRUVEG,1.89,3.093333333
Lichtenberg,Evelina,1.79,Cripps Pink,2.79,Braeburn,0.79,1.79
Neukölln,GutBio,4.38,Kissed By Nature,1.99,Pink Lady ,2.79,3.053333333
Friedrichshain,Jonagored,0.66,Royal Gala,1.4,Bio ,3.13,1.73
Mitte,REWE,1.79,REWE ,1.99,REWE ,1.93,1.903333333
Kreuzberg,REWE ,1.99,Pink Lady,3.83,REWE ,2.99,2.936666667
Lichtenberg,Pink Lady,2.79,Apfel Rot,2.39,Braeburn,1.39,2.19
Prenzlauer Berg,No Brand,2.93,,,,,2.93
Kreuzberg,Royal Gala,1.49,Ambriosa,1.89,No Brand,1.89,1.756666667
Kreuzberg,No Brand,2.49,No Brand,1.89,No Brand,2.49,2.29
Schöneberg,No Brand,1.79,No Brand,1.99,No Brand,2.89,2.223333333
Schöneberg,Honeycrunch,2.72,Braeburn,1.39,South African,2.99,2.366666667
Mitte,EDEKA,1.99,Kanzi,1.99,Demeter,2.49,2.156666667
Schöneberg,Pink Lady,2.79,GutBio,1.69,Rote Tafeapfel,2.39,2.29
Mitte,Granny Smith ,1.99,Golden Deli,1.99,Braeburn,1.99,1.99
Mitte,Pink Lady,2.99,No Brand,1.79,Etikett,1.39,2.056666667
Mitte,Rote Tafelapfel ,1.99,Rote Tafelapfel,2.99,Snackapfel,1.89,2.29
Friedrichshain,Demeter,0.66,Tafelapfel,2.99,Bio,3.62,2.423333333
Friedrichshain,GutBio,2.98,Honeycrunch,2.74,Pink Lady,2.59,2.77
Alt Treptow,No Brand,2.72,No Brand,1.49,No Brand,2.49,2.233333333
Neukölln,Ambrosia,2.49,Sanifrutta,2.49,No Brand,1.89,2.29
Kreuzberg,Bio,3.65,No Brand,1.25,Golden Delicious,2.49,2.463333333
Alt Treptow,Ambrosia,2.49,Sanifrutta,2.49,No Brand,1.89,2.29
Friedrichshain,EDEKA,1.99,Gut & Gunstig,1.99,Kanzi,1.48,1.82
Alt Treptow,Snack Apfel,1.49,Rote Tafeapfel,1.39,Rote Tafeapfel,1.99,1.623333333
Kreuzberg,Kissed By Nature,1.99,Pink Lady,2.93,EDEKA,1.99,2.303333333
Kreuzberg,REWE ,1.99,Royal Gala,1.83,REWE ,1.99,1.936666667
Kreuzberg,Royal Gala,1.99,Braeburn,1,BauersBeste,1.99,1.66
Alt Treptow,Elstar ,2.49,Pink Lady,2.99,Bio ,3.49,2.99
Neukölln,Elstar,1.99,Holsteiner Cox,1.99,Rote Tafeapfel,1.99,1.99
Prenzlauer Berg,Elstar,1.99,Demeter,3.62,Granny Smith,1.99,2.533333333
Mitte,FRUVEG,0.79,GutBio,3.65,FRUVEG,1.99,2.143333333
Mitte,Pink Lady,2.59,Golden Deli,1.49,Rote Tafeapfel,2.74,2.273333333
Lichtenberg,No Brand ,2.72,Pink Lady,2.79,No Brand,2.39,2.633333333
Mitte,Bio,3.13,No Brand,1,No Brand,1.4,1.843333333
Mitte,Royal Gala,1.99,Pink Lady,2.99,Braeburn,1.99,2.323333333
Neukölln,Royal Gala,1.52,Kanzi,2.39,Pink Lady,3.98,2.63
Mitte,Pink Lady,4.14,REWE ,1.99,REWE ,1.99,2.706666667
Friedrichshain,No Brand,2.93,,,,,2.93
Mitte,Talapfel Gale,1.95,GutBio,3.1,Snackapfel,1.9,2.316666667
Neukölln,Bioland,2.7,Ambrosia,2.49,No Brand,1.89,2.36
Mitte,Royal Gala,2.49,Ambriosa,2.49,No Brand,1.4,2.126666667
Prenzlauer Berg,Pink Lady,2.49,REWE,1.79,,,2.14
Schöneberg,REWE,2.99,REWE ,1.83,Kanzi,1.49,2.103333333
Mitte,VOG,1.89,Royal Gala,2.49,Bioland,1.89,2.09
Friedrichshain,Bio,2.99,Kanzi,1.99,No Brand,1.99,2.323333333
Mitte,Granny Smith,1.99,Royal Gala,1.99,Royal Gala,2.99,2.323333333
Neukölln,Apfel,4.3,Kissed by Nature ,1.99,GutBio,2.79,3.026666667
Schöneberg,Royal Gala,1.99,Kanzi,1.99,Pink Lady,2.93,2.303333333
Friedrichshain,Jemeter,3.62,EDEKA,1.99,No Brand,1.99,2.533333333
Prenzlauer Berg,REWE,1.99,Birnen,0.99,REWE ,4.98,2.653333333
Friedrichshain,REWE,1.89,Bio,2.99,,,2.44